Unnamed: 0,Symbol,Close_Price
0,ADANIENT,150.8
1,AIAENG,1500.0
2,APLLTD,516.5
3,APOLLOTYRE,248.6
4,ARVIND,431.5
5,ATUL,2545.0
6,BALKRISIND,2393.0
7,BALRAMCHIN,153.3
8,BATAINDIA,733.0
9,BHARATFIN,1001.6
10,CARERATING,1373.0
11,CENTURYTEX,1318.35
12,CESC,1008.55
13,CHAMBLFERT,143.55
14,CHOLAFIN,1299.9
15,DALMIABHA,3100.0
16,DCBBANK,188.2
17,DHFL,600.05
18,DISHTV,82.4
19,ECLERX,1365.05
20,EDELWEISS,288.3
21,ENGINERSIN,183.55
22,FEDERALBNK,109.15
23,FORTIS,146.4
24,GDL,239.1
25,GPPL,138.0
26,GRUH,499.05
27,GSPL,209.55
28,IDFC,59.55
29,IGL,327.75
30,INDIACEM,174.7
31,IPCALAB,546.0
32,IRB,204.3
33,JISLJALEQS,118.6
34,JUBILANT,692.0
35,JUBLFOOD,1661.0
36,KAJARIACER,704.5
37,KPIT,166.65
38,MANAPPURAM,104.1
39,MCX,972.0
40,MINDTREE,546.3
41,MUTHOOTFIN,439.0
42,NATCOPHARM,935.0
43,NCC,125.4
44,PERSISTENT,646.0
45,PIIND,957.0
46,PVR,1299.9
47,RALLIS,237.0
48,REDINGTON,182.0
49,REPCOHOME,630.0
50,SOUTHBANK,32.35
51,SPARC,446.1
52,SRF,1830.55
53,STAR BSE,800.45
54,SUZLON,13.95
55,TATAELXSI,926.0
56,TV18BRDCST,57.05
57,VAKRANGEE,760.9
58,VOLTAS,625.2
59,WABCOINDIA,7080.0
