,Symbol,Open_Price
0,ADANIENT,149.2
1,AIAENG,1501.15
2,APLLTD,518.0
3,APOLLOTYRE,245.0
4,ARVIND,431.6
5,ATUL,2544.05
6,BALKRISIND,2250.0
7,BALRAMCHIN,153.5
8,BATAINDIA,732.5
9,BHARATFIN,990.8
10,CARERATING,1360.0
11,CENTURYTEX,1291.3
12,CESC,986.1
13,CHAMBLFERT,146.5
14,CHOLAFIN,1290.0
15,DALMIABHA,3038.0
16,DCBBANK,186.85
17,DHFL,606.4
18,DISHTV,83.0
19,ECLERX,1399.95
20,EDELWEISS,281.85
21,ENGINERSIN,183.25
22,FEDERALBNK,110.35
23,FORTIS,147.0
24,GDL,239.75
25,GPPL,141.8
26,GRUH,504.85
27,GSPL,211.6
28,IDFC,59.55
29,IGL,334.95
30,INDIACEM,168.0
31,IPCALAB,542.75
32,IRB,204.8
33,JISLJALEQS,117.35
34,JUBILANT,695.0
35,JUBLFOOD,1658.5
36,KAJARIACER,707.95
37,KPIT,166.85
38,MANAPPURAM,102.3
39,MCX,964.7
40,MINDTREE,556.7
41,MUTHOOTFIN,435.0
42,NATCOPHARM,935.0
43,NCC,125.0
44,PERSISTENT,647.2
45,PIIND,947.5
46,PVR,1286.9
47,RALLIS,236.9
48,REDINGTON,185.4
49,REPCOHOME,623.25
50,SOUTHBANK,31.5
51,SPARC,433.0
52,SRF,1819.9
53,STAR BSE,800.0
54,SUZLON,13.95
55,TATAELXSI,937.35
56,TV18BRDCST,56.9
57,VAKRANGEE,753.2
58,VOLTAS,617.0
59,WABCOINDIA,7040.0
